"","Date","Start..ET.","Visitor.Neutral","PTS","Home.Neutral","PTS.1","Var.7","Var.8","Attend.","Notes"
"1","Sat, Dec 1, 2018","8:00p","Toronto Raptors",106,"Cleveland Cavaliers",95,"Box Score","","19,432",""
"2","Sat, Dec 1, 2018","7:00p","Golden State Warriors",102,"Detroit Pistons",111,"Box Score","","20,332",""
"3","Sat, Dec 1, 2018","8:00p","Chicago Bulls",105,"Houston Rockets",121,"Box Score","","18,055",""
"4","Sat, Dec 1, 2018","8:00p","Boston Celtics",118,"Minnesota Timberwolves",109,"Box Score","","17,663",""
"5","Sat, Dec 1, 2018","5:00p","Milwaukee Bucks",134,"New York Knicks",136,"Box Score","OT","19,812",""
"6","Sat, Dec 1, 2018","10:00p","Indiana Pacers",110,"Sacramento Kings",111,"Box Score","","17,583",""
"7","Sat, Dec 1, 2018","7:00p","Brooklyn Nets",88,"Washington Wizards",102,"Box Score","","15,448",""
"8","Sun, Dec 2, 2018","5:00p","New Orleans Pelicans",119,"Charlotte Hornets",109,"Box Score","","15,336",""
"9","Sun, Dec 2, 2018","7:00p","Los Angeles Clippers",110,"Dallas Mavericks",114,"Box Score","","19,551",""
"10","Sun, Dec 2, 2018","3:30p","Phoenix Suns",96,"Los Angeles Lakers",120,"Box Score","","18,997",""
"11","Sun, Dec 2, 2018","6:00p","Utah Jazz",100,"Miami Heat",102,"Box Score","","19,600",""
"12","Sun, Dec 2, 2018","6:00p","Memphis Grizzlies",95,"Philadelphia 76ers",103,"Box Score","","20,334",""
"13","Sun, Dec 2, 2018","7:00p","Portland Trail Blazers",118,"San Antonio Spurs",131,"Box Score","","18,354",""
"14","Mon, Dec 3, 2018","7:30p","Golden State Warriors",128,"Atlanta Hawks",111,"Box Score","","16,631",""
"15","Mon, Dec 3, 2018","7:30p","Cleveland Cavaliers",99,"Brooklyn Nets",97,"Box Score","","10,983",""
"16","Mon, Dec 3, 2018","7:00p","Oklahoma City Thunder",110,"Detroit Pistons",83,"Box Score","","14,372",""
"17","Mon, Dec 3, 2018","8:00p","Houston Rockets",91,"Minnesota Timberwolves",103,"Box Score","","13,834",""
"18","Mon, Dec 3, 2018","8:00p","Los Angeles Clippers",129,"New Orleans Pelicans",126,"Box Score","","13,822",""
"19","Mon, Dec 3, 2018","7:30p","Washington Wizards",110,"New York Knicks",107,"Box Score","","19,440",""
"20","Mon, Dec 3, 2018","7:30p","Denver Nuggets",106,"Toronto Raptors",103,"Box Score","","19,800",""
